client_id,recency_days,frequency,monetary_value,avg_transaction_amount,transaction_amount_volatility,customer_tenure_days,avg_balance,min_balance,max_balance,balance_range,monetary_per_transaction,total_account_count,loan_count,card_count,permanent_order_count,product_diversity_score,total_loan_amount,avg_loan_amount,active_loans,completed_loans,in_progress_loans,defaulted_loans,gold_cards,classic_cards,junior_cards,avg_order_amount,total_order_amount,loan_default_rate,credit_transaction_count,withdrawal_transaction_count,credit_amount,withdrawal_amount,avg_credit_amount,avg_withdrawal_amount,operation_type_diversity,transaction_type_diversity,transaction_category_diversity,cash_deposit_count,card_withdrawal_count,cash_withdrawal_count,collection_from_bank_count,remittance_to_bank_count,avg_account_balance,balance_volatility,weekend_transaction_count,weekday_transaction_count,transaction_day_diversity,weekend_transaction_ratio,credit_transaction_ratio,credit_withdrawal_ratio,clv_indicator,churn_risk,cross_sell_potential,engagement_score,predicted_transactions_1yr,expected_avg_profit,clv_1yr
17,0,75,110719.4,2776.1866666666683,2795.46198789498,501,15120.499999999996,1000.0,29750.6,28750.6,1476.2586666666666,1,0,0,1,2,0.0,0.0,0,0,0,0,0,0,0,2444.0,2444.0,0.0,31,44,110719.4,97494.59999999998,3571.5935483870967,2215.786363636363,4,2,4,1,0,33,16,11,15120.499999999996,4524.5451502915785,23,52,7,0.3066666666666666,0.4133333333333333,1.1356464870874905,55360.3,10.0,2,73.0,54.640718562874255,1476.2586666666666,80663.83433133733
19,0,124,412586.0,6337.564516129028,6791.263304610697,764,39603.633064516136,400.0,59453.0,59053.0,3327.306451612903,1,0,1,1,3,0.0,0.0,0,0,0,0,0,1,0,3629.0,3629.0,0.0,52,72,412586.0,373272.0000000001,7934.346153846152,5184.333333333335,4,2,3,27,6,46,0,20,39603.633064516136,8017.350241015343,35,89,7,0.282258064516129,0.4193548387096774,1.10532266015131,206293.9,0.0,1,83.0,59.24083769633508,3327.3064516129034,197112.4214659686
26,0,116,86220.30000000003,1334.035344827587,1274.8531470929995,859,15604.086206896549,500.0,20457.6,19957.6,743.2784482758624,1,0,0,1,2,0.0,0.0,0,0,0,0,0,0,0,2003.0,2003.0,0.0,53,63,86220.30000000003,68527.79999999996,1626.798113207548,1087.7428571428566,4,2,3,1,0,39,28,24,15604.086206896549,2912.721718252885,32,84,7,0.2758620689655172,0.4568965517241379,1.2581798919562583,43110.750000000015,0.0,2,78.0,49.289871944121074,743.2784482758624,36636.09953434228
28,0,310,1067603.299999999,6772.472580645178,7094.945268706766,1744,40694.42645161288,1100.0,68159.8,67059.8,3443.881612903224,1,0,0,1,2,0.0,0.0,0,0,0,0,0,0,0,6352.0,6352.0,0.0,118,192,1067603.299999999,1031863.1999999988,9047.485593220334,5374.287499999994,3,2,3,61,0,140,0,52,40694.42645161288,12165.621760862106,90,220,7,0.2903225806451613,0.3806451612903225,1.0346364711911429,533802.2499999997,0.0,2,78.0,64.8795871559633,3443.881612903223,223437.61725917415
51,0,321,1451226.699999999,8852.606542056094,10204.660034779508,1663,60897.16230529594,1100.0,99571.8,98471.8,4520.955451713393,1,0,1,1,3,0.0,0.0,0,0,0,0,0,0,1,6589.0,6589.0,0.0,112,209,1451226.699999999,1390459.9999999988,12957.381249999991,6652.918660287076,4,2,3,57,35,124,0,50,60897.16230529594,12558.043675831985,94,227,7,0.292834890965732,0.3489096573208722,1.0437025876328698,725614.2499999995,0.0,1,83.0,70.45399879735417,4520.955451713393,318519.3899579072
53,0,69,79639.3,1933.3318840579695,3916.671132235396,485,27239.694202898558,300.0,52969.7,52669.7,1154.1927536231883,1,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,41,28,79639.3,53760.600000000006,1942.4219512195125,1920.0214285714287,2,2,2,25,0,28,0,0,27239.694202898558,8389.508001172091,22,47,7,0.3188405797101449,0.5942028985507246,1.4813692555514633,39819.95,12.400000000000002,3,66.8,51.92783505154639,1154.1927536231885,59934.73092783505
60,0,192,710282.2999999998,6887.197395833329,8711.611325834137,964,59944.55625000008,800.0,106203.4,105403.4,3699.3869791666657,1,0,1,2,3,0.0,0.0,0,0,0,0,0,0,2,2065.5,4131.0,0.0,63,129,710282.2999999998,612059.6000000001,11274.32222222222,4744.648062015504,4,2,4,32,4,72,0,53,59944.55625000008,16569.737834192732,61,131,7,0.3177083333333333,0.328125,1.1604789794980743,355142.05,0.0,1,83.0,72.69709543568464,3699.3869791666657,268934.6882780082
62,0,197,187624.00000000003,1828.0091370558332,1736.8833124711082,1303,18613.80152284265,700.0,27518.7,26818.7,952.4060913705586,1,0,0,1,2,0.0,0.0,0,0,0,0,0,0,0,2851.0,2851.0,0.0,87,110,187624.00000000003,172493.80000000022,2156.5977011494256,1568.1254545454565,4,2,4,1,0,71,43,39,18613.80152284265,3676.467458917185,54,143,7,0.2741116751269035,0.4416243654822335,1.08771445698338,93812.60000000002,0.0,2,78.0,55.18419033000768,952.4060913705586,52557.75901765159
85,0,242,1654840.5000000005,13584.06818181818,15725.48117123634,924,55671.138016529054,1100.0,156395.8,155295.8,6838.183884297523,1,0,0,3,2,0.0,0.0,0,0,0,0,0,0,0,4106.0,12318.0,0.0,92,137,1654840.5000000005,1481795.0,17987.39673913044,10816.021897810218,3,3,4,61,0,92,0,58,55671.138016529054,29551.95283900794,71,171,7,0.2933884297520661,0.4017467248908297,1.116780998721146,827420.8500000002,0.0,2,82.0,95.59523809523809,6838.183884297523,653697.8165584417
87,0,366,1313249.8999999994,7007.049453551926,7886.36909983518,1879,48022.01967213116,400.0,89175.1,88775.1,3588.114480874316,1,0,1,1,3,0.0,0.0,0,0,0,0,0,1,0,6061.0,6061.0,0.0,128,238,1313249.8999999994,1251330.1999999988,10259.764843749996,5257.689915966382,4,2,3,66,47,133,0,58,48022.01967213116,13545.514595739554,98,268,7,0.2677595628415301,0.3497267759562841,1.0494831020621105,656625.8499999997,0.0,1,83.0,71.09632783395423,3588.1144808743156,255101.76343799886
92,0,388,1273705.9000000004,6364.627577319605,7063.635105895359,2003,35816.853350515456,400.0,78733.4,78333.4,3282.7471649484546,1,0,0,1,2,0.0,0.0,0,0,0,0,0,0,0,9039.0,9039.0,0.0,137,251,1273705.9000000004,1195769.5999999987,9297.123357664235,4764.022310756967,3,2,3,71,0,190,0,61,35816.853350515456,12439.715478129296,110,278,7,0.2835051546391752,0.3530927835051546,1.0651766862111245,636853.5500000002,0.0,2,78.0,70.70394408387419,3282.7471649484546,232103.17199201207
94,0,176,135524.7,1384.6539772727283,1397.1091859105036,1191,19465.203977272737,900.0,28082.1,27182.1,770.0267045454547,1,0,0,1,2,0.0,0.0,0,0,0,0,0,0,0,2252.0,2252.0,0.0,75,101,135524.7,108174.4000000002,1806.996,1071.0336633663385,4,2,2,1,0,67,39,34,19465.203977272737,4239.289746082537,53,123,7,0.3011363636363636,0.4261363636363636,1.252835236433017,67762.95000000001,0.0,2,78.0,53.93786733837112,770.0267045454547,41533.598236775826
96,0,217,135753.20000000013,1083.2377880184345,1334.556597279873,896,26561.521198156697,1000.0,39079.6,38079.6,625.5907834101388,1,0,0,3,2,0.0,0.0,0,0,0,0,0,0,0,685.3333333333334,2056.0,0.0,74,143,135753.20000000013,99309.40000000014,1834.5027027027045,694.4713286713296,4,2,5,16,0,70,29,73,26561.521198156697,5650.331971164397,60,157,7,0.2764976958525346,0.3410138248847926,1.366972310778234,67877.20000000007,0.0,2,78.0,88.3984375,625.5907834101388,55301.24776785719
121,0,405,883214.4999999994,4176.764197530876,5074.914161428578,1829,42188.18790123456,600.0,84377.4,83777.4,2180.776543209875,1,0,0,2,2,0.0,0.0,0,0,0,0,0,0,0,3963.5,7927.0,0.0,145,260,883214.4999999994,808374.9999999987,6091.134482758616,3109.1346153846102,3,2,4,85,0,148,0,112,42188.18790123456,12710.169652643805,116,289,7,0.2864197530864197,0.3580246913580246,1.0925801762795742,441607.8499999997,0.0,2,78.0,80.8228540185894,2180.776543209875,176256.58419901572
128,0,282,959859.2,6577.22198581562,7531.27405035214,1495,45592.49645390071,500.0,76991.2,76491.2,3403.7560283687944,1,0,1,1,3,0.0,0.0,0,0,0,0,0,1,0,3735.0,3735.0,0.0,99,183,959859.2,894917.399999999,9695.547474747476,4890.259016393437,4,2,3,50,36,102,0,45,45592.49645390071,12776.441660311732,88,194,7,0.3120567375886525,0.351063829787234,1.0725673676699117,479930.50000000006,0.0,1,83.0,68.84949832775919,3403.756028368794,234346.89498327754
151,0,335,1608416.4,9452.159402985082,12409.422080767776,1895,44559.284776119406,200.0,118218.8,118018.8,4801.242985074627,1,0,0,1,2,0.0,0.0,0,0,0,0,0,0,0,7384.0,7384.0,0.0,140,180,1608416.4,1353906.9999999986,11488.68857142857,7521.705555555548,3,3,3,78,0,139,0,56,44559.284776119406,24077.089412113302,97,238,7,0.2895522388059701,0.4375,1.1879814492428222,804208.7999999999,0.0,2,82.0,64.52506596306068,4801.242985074627,309800.5203166227
153,0,399,444791.6999999999,2042.2804511278152,4611.8543620111,2141,43410.62907268172,300.0,86412.9,86112.9,1114.7661654135336,1,0,1,0,2,0.0,0.0,0,0,0,0,0,0,1,0.0,0.0,0.0,208,191,444791.6999999999,370078.2000000004,2138.421634615384,1937.5821989528815,3,2,2,138,44,147,0,0,43410.62907268172,15148.269959350622,116,283,7,0.2907268170426065,0.5213032581453634,1.2018857095608426,222396.44999999995,0.0,2,78.0,68.02195235871088,1114.7661654135336,75828.5709948622
160,0,113,694287.3000000002,11876.038053097343,15296.173577718702,446,49741.99557522123,900.0,144564.5,143664.5,6144.13539823009,1,0,0,3,2,0.0,0.0,0,0,0,0,0,0,0,4386.666666666667,13160.0,0.0,44,64,694287.3000000002,573948.0,15779.256818181822,8967.9375,3,3,4,29,0,43,0,26,49741.99557522123,28601.973178771703,37,76,7,0.3274336283185841,0.4074074074074074,1.2096693428672984,347144.25000000006,0.0,2,82.0,92.47757847533633,6144.13539823009,568194.763452915
162,0,326,408093.3999999999,2277.558282208585,2813.350814107418,2025,40000.60122699388,700.0,75906.3,75206.3,1251.8202453987726,1,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,161,165,408093.3999999999,334390.6000000003,2534.7416149068317,2026.609696969699,2,2,2,95,0,165,0,0,40000.60122699388,14091.50470398818,87,239,7,0.2668711656441718,0.4938650306748466,1.2204093057639762,204046.9999999999,0.0,3,73.0,58.760493827160495,1251.8202453987726,73557.57580246912
