client_id,recency_days,frequency,monetary_value,avg_transaction_amount,transaction_amount_volatility,customer_tenure_days,avg_balance,min_balance,max_balance,balance_range,monetary_per_transaction,total_account_count,loan_count,card_count,permanent_order_count,product_diversity_score,total_loan_amount,avg_loan_amount,active_loans,completed_loans,in_progress_loans,defaulted_loans,gold_cards,classic_cards,junior_cards,avg_order_amount,total_order_amount,loan_default_rate,credit_transaction_count,withdrawal_transaction_count,credit_amount,withdrawal_amount,avg_credit_amount,avg_withdrawal_amount,operation_type_diversity,transaction_type_diversity,transaction_category_diversity,cash_deposit_count,card_withdrawal_count,cash_withdrawal_count,collection_from_bank_count,remittance_to_bank_count,avg_account_balance,balance_volatility,weekend_transaction_count,weekday_transaction_count,transaction_day_diversity,weekend_transaction_ratio,credit_transaction_ratio,credit_withdrawal_ratio,clv_indicator,churn_risk,cross_sell_potential,engagement_score
2,1,478,1597053.499999999,6593.052928870301,7694.570796651193,2135,36540.70439330543,1100.0,69302.0,68202.0,3341.116108786609,1,1,0,2,3,161904.0,80952.0,2,0,0,0,0,0,0,5319.35,10638.7,0.0,152,305,1597053.499999999,1336983.7999999984,10506.930921052626,4383.553442622946,4,3,4,12,0,237,70,89,36540.70439330543,11028.141343708565,129,349,7,0.2698744769874477,0.33260393873085337,1.1945197092141289,798527.4499999996,0.6,1,86.6
9,1,130,630267.9,9169.537692307686,10149.3179019846,768,62598.59153846156,900.0,99675.3,98775.3,4848.214615384615,1,0,1,1,3,0.0,0.0,0,0,0,0,1,0,0,4880.0,4880.0,0.0,51,79,630267.9,561772.0000000001,12358.19411764706,7111.037974683546,4,2,3,26,1,58,0,20,62598.59153846156,14932.456309922838,41,89,7,0.3153846153846154,0.3923076923076923,1.121928291192868,315134.65,0.6,1,82.6
20,1,365,1188498.0999999994,6382.391506849332,7597.361809757483,1917,38645.22876712323,800.0,66670.5,65870.5,3256.15917808219,1,0,0,1,2,0.0,0.0,0,0,0,0,0,0,0,3072.0,3072.0,0.0,129,236,1188498.0999999994,1141074.7999999986,9213.163565891467,4835.062711864401,3,2,3,66,0,177,0,59,38645.22876712323,11120.209344241192,111,254,7,0.3041095890410959,0.35342465753424657,1.0415602027141435,594249.4499999997,0.6,2,77.6
27,1,62,175831.5,4813.424193548388,5074.629402884329,391,35286.209677419356,1100.0,61684.5,60584.5,2835.9919354838707,1,0,0,1,2,0.0,0.0,0,0,0,0,0,0,0,6276.0,6276.0,0.0,34,28,175831.5,122600.80000000005,5171.514705882353,4378.600000000001,3,2,3,21,0,19,0,9,35286.209677419356,12203.110072365373,19,43,7,0.3064516129032258,0.5483870967741935,1.4341790591904777,87916.15000000001,15.799999999999999,2,70.0
45,1,130,497029.19999999995,7293.491538461539,11915.509308525416,501,37547.422307692286,-1011.2,104761.5,105772.7,3823.3015384615383,1,1,0,4,3,1273920.0,318480.0,0,0,0,4,0,0,0,2576.375,10305.5,4.0,36,92,497029.19999999995,409469.70000000007,13806.366666666665,4450.757608695653,3,3,7,19,0,51,0,43,37547.422307692286,23823.30480918877,41,89,7,0.3153846153846154,0.28125,1.2138363351427466,248515.29999999996,0.6,1,86.6
52,1,316,286630.19999999995,1738.6626582278452,1755.1584997656491,2062,19124.711392405057,400.0,29481.8,29081.8,907.0575949367087,1,0,0,1,2,0.0,0.0,0,0,0,0,0,0,0,2344.0,2344.0,0.0,131,185,286630.19999999995,262787.20000000036,2188.0167938931295,1420.4713513513534,4,2,4,1,0,122,67,63,19124.711392405057,4224.772023844258,92,224,7,0.2911392405063291,0.41455696202531644,1.0907312076082836,143315.49999999997,0.6,2,77.6
59,1,377,1001516.6000000001,5084.626525198953,6401.5786041194515,1701,37433.39124668431,900.0,90088.0,89188.0,2656.542705570292,1,0,0,2,2,0.0,0.0,0,0,0,0,0,0,0,3646.5,7293.0,0.0,117,260,1001516.6000000001,915387.5999999988,8559.97094017094,3520.721538461534,3,2,4,61,0,158,0,102,37433.39124668431,13082.010427520341,110,267,7,0.2917771883289125,0.3103448275862069,1.0940901974201982,500758.7,0.6,2,77.6
70,1,339,246496.40000000002,1399.9097345132707,1459.712593821738,1847,19932.28318584071,700.0,31764.7,31064.7,727.1280235988202,1,0,0,2,2,0.0,0.0,0,0,0,0,0,0,0,1156.5,2313.0,0.0,117,222,246496.40000000002,228073.00000000032,2106.8068376068377,1027.3558558558573,4,2,5,1,0,111,60,111,19932.28318584071,4082.939717382726,105,234,7,0.30973451327433627,0.34513274336283184,1.0807785226659872,123248.60000000002,0.6,2,77.6
77,1,316,2989785.099999998,18605.433860759495,20221.918359992036,1855,64825.51582278482,400.0,129812.6,129412.6,9461.34525316455,1,0,1,1,3,0.0,0.0,0,0,0,0,0,1,0,4471.3,4471.3,0.0,123,179,2989785.099999998,2696200.0,24307.195934959334,15062.569832402234,4,3,2,1,5,188,61,0,64825.51582278482,23902.733490264203,86,230,7,0.2721518987341772,0.40728476821192056,1.108888472665232,1494893.249999999,0.6,1,86.6
102,1,410,233434.80000000002,1085.1068292682885,1221.850543644604,2126,20226.472682926847,800.0,28700.4,27900.4,569.3531707317073,1,0,0,2,2,0.0,0.0,0,0,0,0,0,0,0,1081.0,2162.0,0.0,141,269,233434.80000000002,211459.00000000038,1655.5659574468086,786.0929368029754,4,2,2,1,0,138,70,131,20226.472682926847,3728.336947844085,122,288,7,0.2975609756097561,0.3439024390243902,1.103924637873061,116717.80000000002,0.6,2,77.6
120,32,248,1258139.6999999995,10136.98427419357,13482.138137711185,1284,48417.26129032265,600.0,122885.1,122285.1,5073.143951612901,1,0,0,2,2,0.0,0.0,0,0,0,0,0,0,0,4592.5,9185.0,0.0,93,148,1258139.6999999995,1157516.3999999992,13528.383870967737,7821.056756756751,3,3,4,52,0,91,0,64,48417.26129032265,25871.626081726292,72,176,7,0.2903225806451613,0.38589211618257263,1.0869303450041834,629064.0499999997,19.2,2,69.2
127,1,59,255490.69999999998,8368.811864406776,11461.391189270069,540,30200.5966101695,800.0,74693.6,73893.6,4330.3508474576265,1,1,1,1,4,352704.0,352704.0,0,0,1,0,0,1,0,7348.0,7348.0,0.0,30,28,255490.69999999998,234250.20000000004,8516.356666666667,8366.078571428572,3,3,3,14,0,28,0,1,30200.5966101695,16206.792904530264,18,41,7,0.3050847457627119,0.5172413793103449,1.0906744156461763,127746.34999999999,17.000000000000004,0,83.4
134,1,356,468254.69999999995,2485.108707865165,3320.952923197343,2121,24899.338202247218,200.0,52894.7,52694.7,1315.3221910112359,1,0,0,1,2,0.0,0.0,0,0,0,0,0,0,0,2051.0,2051.0,0.0,141,215,468254.69999999995,416444.00000000035,3320.955319148936,1936.948837209304,4,2,4,1,0,150,70,65,24899.338202247218,9082.249420192753,106,250,7,0.29775280898876405,0.3960674157303371,1.1244121658614352,234127.74999999997,0.6,2,77.6
145,1,92,76041.7,1273.127173913044,1819.2713935911752,447,27489.540217391306,200.0,37504.1,37304.1,826.5402173913043,1,0,0,3,2,0.0,0.0,0,0,0,0,0,0,0,705.3333333333334,2116.0,0.0,39,53,76041.7,41085.999999999985,1949.7871794871794,775.207547169811,4,2,5,9,0,23,15,30,27489.540217391306,6644.594282656499,28,64,7,0.30434782608695654,0.42391304347826086,1.8507934576254692,38021.25,3.7999999999999985,2,76.0
